ID	Result	NatureCode
2017-000001	11	321
2017-000002	1	744
2017-000003	11	321
2017-000004	1	324
2017-000005	1	611
2017-000006	1	743
2017-000007	1	743
2017-000008	1	552
2017-000009	11	321
2017-000010	11	321
2017-000011	1	600
2017-000012	1	445
2017-000013	1	622
2017-000014	10	311
2017-000015	1	511
2017-000016	1	324
2017-000017	11	321
2017-000018	11	321
2017-000019	1	734
2017-000020	10	311
2017-000021	11	321
2017-000022	10	311
2017-000023	1	554
2017-000024	11	321
2017-000025	10	311
2017-000026	11	321
2017-000027	1	600
2017-000028	11	321
2017-000029	10	311
2017-000030	1	743
2017-000031	11	321
2017-000032	1	745
2017-000033	1	611
2017-000034	1	744
2017-000035	1	324
2017-000036	1	740
2017-000037	10	300
2017-000038	10	311
2017-000039	11	321
2017-000040	1	736
2017-000041	11	321
2017-000042	1	911
2017-000043	11	321
2017-000044	1	323
2017-000045	1	600
2017-000046	11	321
2017-000047	1	324
2017-000048	10	311
2017-000049	1	735
2017-000050	11	321
2017-000051	1	611
2017-000052	11	321
2017-000053	1	324
2017-000054	1	735
2017-000055	1	611
2017-000056	10	311
2017-000057	11	321
2017-000058	1	324
2017-000059	11	321
2017-000060	10	311
2017-000061	11	321
2017-000062	1	150
2017-000063	11	321
2017-000064	1	324
2017-000065	11	321
2017-000066	11	321
2017-000067	1	736
2017-000068	1	745
2017-000069	11	321
2017-000070	1	324
2017-000071	11	321
2017-000072	1	324
2017-000073	1	150
2017-000074	1	611
2017-000075	1	611
2017-000076	11	321
2017-000077	1	611
2017-000078	1	622
2017-000079	1	611
2017-000080	11	321
2017-000081	1	151
2017-000082	11	321
2017-000083	11	321
2017-000084	10	311
2017-000085	11	321
2017-000086	10	311
2017-000087	1	710
2017-000088	1	324
2017-000089	11	321
2017-000090	1	322
2017-000091	11	321
2017-000092	1	324
2017-000093	11	321
2017-000094	10	311
2017-000095	11	321
2017-000096	11	321
2017-000097	1	740
2017-000098	1	324
2017-000099	11	321
2017-000100	1	611
2017-000101	11	321
2017-000102	11	321
2017-000103	1	324
2017-000104	1	622
2017-000105	11	321
2017-000106	1	531
2017-000107	11	321
2017-000108	1	700
2017-000109	11	321
2017-000110	10	311
2017-000111	1	324
2017-000112	11	321
2017-000113	10	311
2017-000114	10	311
2017-000115	1	142
2017-000116	11	321
2017-000117	1	745
2017-000118	10	300
2017-000119	1	131
2017-000120	11	321
2017-000121	11	321
2017-000122	11	321
2017-000123	1	324
2017-000124	1	671
2017-000125	10	311
2017-000126	11	321
2017-000127	1	600
2017-000128	11	321
2017-000129	11	321
2017-000130	11	321
2017-000131	1	324
2017-000132	1	324
2017-000133	1	661
2017-000134	11	321
2017-000135	1	324
2017-000136	1	611
2017-000137	11	321
2017-000138	1	622
2017-000139	11	321
2017-000140	11	321
2017-000141	11	321
2017-000142	10	300
2017-000143	1	531
2017-000144	1	611
2017-000145	10	311
2017-000146	11	321
2017-000147	10	300
2017-000148	1113	111
2017-000149	10	311
2017-000150	11	321
2017-000151	11	321
2017-000152	1	324
2017-000153	11	321
2017-000154	10	311
2017-000155	10	311
2017-000156	10	311
2017-000157	11	321
2017-000158	11	321
2017-000159	1	511
2017-000160	10	300
2017-000161	11	321
2017-000162	1	554
2017-000163	1	324
2017-000164	1	651
2017-000165	10	311
2017-000166	1	740
2017-000167	1	510
2017-000168	1	324
2017-000169	11	321
2017-000170	11	321
2017-000171	11	321
2017-000172	1	611
2017-000173	11	321
2017-000174	11	321
2017-000175	10	311
2017-000176	1	600
2017-000177	1	600
2017-000178	11	321
2017-000179	1	324
2017-000180	11	321
2017-000181	1	600
2017-000182	1	131
2017-000183	1	622
2017-000184	1	324
2017-000185	1	412
2017-000186	1	151
2017-000187	11	321
2017-000188	1	611
2017-000189	11	321
2017-000190	11	321
2017-000191	11	321
2017-000192	1	324
2017-000193	1	324
2017-000195	1	251
2017-000194	1	324
2017-000196	10	300
2017-000197	10	300
2017-000198	10	300
2017-000199	11	321
2017-000200	1	611
2017-000201	10	300
2017-000202	11	321
2017-000203	11	321
2017-000204	1	611
2017-000205	11	321
2017-000206	1	600
2017-000207	11	321
2017-000208	11	321
2017-000209	1	622
2017-000210	10	311
2017-000211	10	300
2017-000212	10	311
2017-000213	1	746
2017-000214	10	311
2017-000215	11	321
2017-000216	11	321
2017-000217	11	321
2017-000218	10	300
2017-000219	1	746
2017-000220	11	321
2017-000221	1	324
2017-000222	11	321
2017-000223	1	500
2017-000224	1	611
2017-000225	10	311
2017-000226	10	311
2017-000227	1	671
2017-000228	11	321
2017-000229	1	324
2017-000230	1	611
2017-000231	10	311
2017-000232	1	324
2017-000233	11	321
2017-000234	11	321
2017-000235	11	321
2017-000236	1	324
2017-000237	11	321
2017-000238	1	671
2017-000239	10	311
2017-000240	1	324
2017-000241	1	324
2017-000242	1	324
2017-000243	1	600
2017-000244	1	324
2017-000245	1	324
2017-000246	11	321
2017-000247	1	600
2017-000248	1	324
2017-000249	11	321
2017-000250	1	611
2017-000251	11	321
2017-000252	10	311
2017-000253	1	324
2017-000254	1	251
2017-000255	1	745
2017-000256	1	324
2017-000257	1	600
2017-000258	11	321
2017-000259	1	611
2017-000260	10	300
2017-000261	1	600
2017-000262	1	324
2017-000263	10	311
2017-000264	10	311
2017-000265	1	710
2017-000266	10	311
2017-000267	1	555
2017-000268	1	324
2017-000269	1	251
2017-000270	1	324
2017-000271	1	440
2017-000272	11	321
2017-000273	10	311
2017-000274	1	700
2017-000275	11	321
2017-000276	11	321
2017-000277	1	531
2017-000278	11	321
2017-000279	11	321
2017-000280	1	324
2017-000281	11	321
2017-000282	11	321
2017-000283	11	321
