Date,Nature Code,Address,Call ID,First In Unit,Call Processing Time,Initial Response,Full Complement,Full Overwhelm?,Partial Overwhelm?,Has Response(s),Remarks,Level 1 Cause,Level 2 Cause,Custom Content,Region,Dispatch Rule,Response Plan,X Coordinate,Y Coordinate,Longitude,Latitude
01/01/2017 00:00:39,321,UNKNOWN ADDRESS,2017-000001,E48,0,3.67815,4.71415,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6946428.556,416565.0307,-125.3327,44.70623
01/01/2017 00:04:53,744,1701 NORTHWEST JUNIPER STREET,2017-000002,E12,0,4.229833,4.229833,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6950370.625,433262.7964,-125.32139,44.7526
01/01/2017 00:21:30,321,4301 SOUTHWEST GEROLD STREET,2017-000003,E76,0,4.685867,5.0156,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6946079.841,403307.5607,-125.33099,44.66988
01/01/2017 00:35:38,324,30TH STREET/BASELINE ROAD,2017-000004,E8,0,3.845867,3.845867,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6929123.468,414337.4429,-125.39862,44.69728
01/01/2017 00:39:11,611,1236 SOUTH KING STREET,2017-000005,E79,0,2.981667,2.981667,N,N,Y,,Fire,Good Intent,,Paradise Island,Catchall Rule,Generic Response,6915305.676,425553.0632,-125.4543,44.72568
01/01/2017 00:44:25,743,1210 NORTHEAST 3RD STREET,2017-000006,E1,0,2.568083,2.568083,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6940297.306,435973.9377,-125.36073,44.75837
01/01/2017 00:45:02,743,901 BELMONT ROAD,2017-000007,E74,0,4.626483,4.626483,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6942731.652,447946.987,-125.35414,44.79155
01/01/2017 00:46:04,552,4501 NORTHWEST GILMAN BOULEVARD,2017-000008,E10,0,3.87475,3.87475,N,N,Y,,Service,Service N.O.S.,,Atlantis,Catchall Rule,Generic Response,6950061.99,435112.1059,-125.323,44.75761
01/01/2017 00:50:57,321,5504 ALDER STREET,2017-000009,M3,0,3.4411,3.4411,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6936354.898,399802.665,-125.36749,44.65868
01/01/2017 00:51:14,321,648 EAST 17TH AVENUE,2017-000010,E31,0,5.56875,6.2027,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6935438.819,397952.52,-125.37058,44.65346
01/01/2017 01:09:04,600,8301 MEADOW GREEN CIRCLE,2017-000011,E13,0,4.666633,4.666633,N,N,Y,,Fire,Good Intent,,Gramsham,Catchall Rule,Generic Response,6943473.335,384803.3878,-125.33673,44.61878
01/01/2017 01:26:44,445,5701 NORTHEAST PENN AVENUE,2017-000012,E1,0,3.368783,3.368783,N,N,Y,,Hazardous Condition,Hazardous Condition N.O.S.,,Atlantis,Catchall Rule,Generic Response,6941506.955,437198.8709,-125.35636,44.76192
