ID	Result	NatureCode
2017-009001	1	735
2017-009002	11	321
2017-009003	11	321
2017-009004	1	324
2017-009005	10	311
2017-009006	11	321
2017-009007	1	322
2017-009008	10	300
2017-009009	1	322
2017-009010	1	251
2017-009011	1	324
2017-009012	1	131
2017-009013	1	323
2017-009014	1	142
2017-009015	11	321
2017-009016	1	611
A NORTHEAST 42ND AVENUE"	0	743
2017-009018	10	311
2017-009019	11	321
2017-009020	10	311
2017-009021	11	321
2017-009022	11	321
2017-009023	11	321
2017-009024	1	324
2017-009025	11	321
2017-009026	11	321
2017-009027	11	321
2017-009028	1000	740
2017-009029	1	740
2017-009030	1	324
2017-009031	11	321
2017-009032	11	321
2017-009033	1	324
2017-009034	1	324
2017-009035	11	321
2017-009036	11	321
2017-009037	1	611
2017-009038	11	321
2017-009039	1	324
2017-009040	1	324
2017-009041	11	321
2017-009042	1	324
2017-009043	1	324
2017-009044	11	321
2017-009045	1	745
2017-009046	10	300
2017-009047	10	300
2017-009048	11	321
2017-009049	1	551
2017-009050	1	700
2017-009051	1	611
2017-009052	11	321
2017-009053	10	300
2017-009054	10	311
2017-009055	10	300
2017-009056	11	321
2017-009057	1	911
2017-009058	11	321
2017-009059	1	550
2017-009060	1	743
2017-009061	1	324
2017-009062	1	611
2017-009063	1	511
2017-009064	1	324
2017-009065	1	324
2017-009066	1	413
2017-009067	10	311
2017-009068	1	324
2017-009069	1	611
2017-009070	1	611
2017-009071	11	321
2017-009072	1010	321
2017-009073	1	745
2017-009074	1	324
2017-009075	11	321
2017-009076	11	321
2017-009077	1	324
2017-009078	1	324
2017-009079	1	324
2017-009080	1	611
2017-009081	1	324
2017-009082	1	324
2017-009083	1	324
2017-009084	1	740
2017-009085	11	321
2017-009086	1	324
2017-009087	11	321
2017-009088	1	600
2017-009089	11	321
2017-009090	1	743
2017-009091	1000	322
2017-009092	1	324
2017-009093	1	622
2017-009094	10	311
2017-009095	1	324
2017-009096	1	251
2017-009097	1	622
2017-009098	1	324
2017-009099	1	611
2017-009100	1	324
2017-009101	1	611
2017-009102	1	745
2017-009103	1	324
2017-009104	11	321
2017-009105	10	311
2017-009106	11	321
2017-009107	1	745
2017-009108	1	324
2017-009109	1	600
2017-009110	1	735
2017-009111	1	611
2017-009112	1	611
2017-009113	1	600
2017-009114	1	324
2017-009115	10	300
2017-009116	11	321
2017-009117	11	321
2017-009118	11	321
2017-009119	1	324
2017-009120	10	311
2017-009121	11	321
2017-009122	1	324
2017-009123	1	131
2017-009124	11	321
2017-009125	11	321
2017-009126	10	311
2017-009127	1	324
2017-009128	11	321
2017-009129	11	321
2017-009130	1	353
2017-009131	1	324
2017-009132	11	321
2017-009133	11	321
2017-009134	11	321
2017-009135	1	531
2017-009136	11	321
2017-009137	1	323
2017-009138	1	324
2017-009139	1	622
2017-009140	11	321
2017-009141	11	321
2017-009142	1	444
2017-009143	1	412
2017-009144	11	321
2017-009145	1	324
2017-009146	11	321
2017-009147	1	324
2017-009148	1	611
2017-009149	1	611
2017-009150	10	311
2017-009151	11	321
2017-009152	10	300
2017-009153	1	324
2017-009154	1	324
2017-009155	11	321
2017-009156	1	611
2017-009157	11	321
2017-009158	11	321
2017-009159	11	321
2017-009160	1	611
2017-009161	11	321
2017-009162	11	321
2017-009163	10	300
2017-009164	11	321
2017-009165	10	300
2017-009166	1	151
2017-009167	10	311
2017-009168	10	311
2017-009169	11	321
2017-009170	11	321
2017-009171	11	321
2017-009172	1	552
2017-009173	11	321
2017-009174	10	311
2017-009175	11	321
2017-009176	1	150
2017-009177	11	321
2017-009178	1	324
2017-009179	1	622
2017-009180	1	622
2017-009181	1	611
2017-009182	1010	321
2017-009183	10	300
2017-009184	11	321
2017-009185	11	321
2017-009186	1	444
2017-009187	11	321
2017-009188	10	300
2017-009189	1	324
2017-009190	1000	611
2017-009191	11	321
2017-009192	1000	733
2017-009193	1	445
2017-009194	1	611
2017-009195	1	730
2017-009196	1	710
2017-009197	11	321
2017-009198	1	552
2017-009199	11	321
2017-009200	11	321
2017-009201	11	321
2017-009202	11	321
2017-009203	1	550
2017-009204	11	321
2017-009205	11	321
2017-009206	10	311
2017-009207	11	321
2017-009208	11	321
2017-009209	10	311
2017-009210	1	324
2017-009211	10	311
2017-009212	1	622
2017-009213	10	311
2017-009214	1	611
2017-009215	1	353
2017-009216	11	321
2017-009217	1	551
2017-009218	11	321
2017-009219	1	552
2017-009220	11	321
2017-009221	11	321
2017-009222	1	735
2017-009223	10	300
2017-009224	1	745
2017-009225	11	321
2017-009226	10	311
2017-009227	1	730
2017-009228	11	321
2017-009229	10	300
2017-009230	10	311
2017-009231	1	324
2017-009232	11	321
2017-009233	10	311
2017-009234	11	321
2017-009235	11	321
2017-009236	1	611
2017-009237	1	500
2017-009238	1	611
2017-009239	10	300
2017-009240	1	700
2017-009241	10	311
2017-009242	1	743
2017-009243	10	311
2017-009244	11	321
2017-009245	11	321
2017-009246	10	311
2017-009247	1	324
2017-009248	1	324
2017-009249	1	622
2017-009250	10	300
2017-009251	1	622
2017-009252	1	131
2017-009253	11	321
2017-009254	11	321
2017-009255	10	311
2017-009256	1	732
2017-009257	1	322
2017-009258	1	611
2017-009259	11	321
2017-009260	10	300
2017-009261	10	311
2017-009262	1010	321
2017-009263	1	118
2017-009264	1	324
2017-009265	1	324
2017-009266	10	300
2017-009267	10	311
2017-009268	11	321
2017-009269	11	321
2017-009270	10	311
2017-009271	11	321
2017-009272	11	321
2017-009273	1000	551
2017-009274	1	611
2017-009275	1	324
2017-009276	11	321
2017-009277	1	600
2017-009278	11	321
2017-009279	10	300
2017-009280	1	324
2017-009281	1	324
2017-009282	11	321
2017-009283	1	611
2017-009284	1	554
2017-009285	11	321
2017-009286	1	551
2017-009287	11	321
2017-009288	1	600
2017-009289	11	321
2017-009290	11	321
2017-009291	1	324
2017-009292	1	700
2017-009293	10	311
2017-009294	11	321
2017-009295	11	321
2017-009296	1	324
2017-009297	1	600
2017-009298	1	324
2017-009299	10	300
2017-009300	1	322
2017-009301	1	745
2017-009302	10	311
2017-009303	1	611
2017-009304	1000	741
2017-009305	1	730
2017-009306	11	321
2017-009307	10	311
2017-009308	11	321
2017-009309	1	324
2017-009310	1	324
2017-009311	11	321
2017-009312	11	321
2017-009313	1	520
2017-009314	1	412
2017-009315	10	311
2017-009316	1	611
2017-009317	1	743
2017-009318	1	671
2017-009319	1	411
2017-009320	11	321
2017-009321	11	321
2017-009322	1	531
2017-009323	11	321
2017-009324	11	321
2017-009325	1	735
2017-009326	1	611
2017-009327	1	324
2017-009328	1	324
2017-009329	11	321
2017-009330	1	611
2017-009331	11	321
2017-009332	11	321
2017-009333	1	611
2017-009334	11	321
2017-009335	11	321
2017-009336	10	300
2017-009337	1	131
2017-009338	1	324
2017-009339	11	321
2017-009340	1	622
2017-009341	11	321
2017-009342	11	321
2017-009343	10	311
2017-009344	1	740
2017-009345	1	661
2017-009346	1	531
2017-009347	11	321
2017-009348	11	321
2017-009349	1	400
2017-009350	1	324
2017-009351	1	324
2017-009352	10	311
2017-009353	1	463
2017-009354	11	321
2017-009355	10	300
2017-009356	1	531
2017-009357	1000	400
2017-009358	1	622
2017-009359	11	321
2017-009360	11	321
2017-009361	11	321
2017-009362	10	300
2017-009363	11	321
2017-009364	1	611
2017-009365	10	311
2017-009366	11	321
2017-009367	1	520
2017-009368	10	300
2017-009369	11	321
2017-009370	1	600
2017-009371	1	551
2017-009372	11	321
2017-009373	1	324
2017-009374	1	531
2017-009375	11	321
2017-009376	1	551
2017-009377	10	311
2017-009378	1	500
 JUNIOR BOULEVARD"	0	440
2017-009380	1	324
2017-009381	1	324
2017-009382	11	321
2017-009383	1	324
2017-009384	11	321
2017-009385	1	611
2017-009386	1	251
2017-009387	11	321
2017-009388	11	321
2017-009389	10	300
2017-009390	11	321
2017-009391	11	321
2017-009392	10	311
2017-009393	1	322
2017-009394	10	311
2017-009395	11	321
2017-009396	11	321
2017-009397	1	740
2017-009398	1	142
2017-009399	1	324
2017-009400	11	321
2017-009401	10	311
2017-009402	1	324
2017-009403	1	735
2017-009404	1	611
2017-009405	1	600
2017-009406	11	321
2017-009407	11	321
2017-009408	11	321
2017-009409	1	511
2017-009410	1	324
2017-009411	11	321
2017-009412	1	322
2017-009413	1	700
2017-009414	10	311
2017-009415	1	611
2017-009416	11	321
2017-009417	1	324
2017-009418	11	321
2017-009419	1	500
2017-009420	1	700
2017-009421	1	324
2017-009422	11	321
2017-009423	1	324
2017-009424	11	321
2017-009425	11	321
2017-009426	1	622
2017-009427	1	740
2017-009428	1	745
2017-009429	1	324
2017-009430	11	321
2017-009431	1	700
2017-009432	1	324
2017-009433	1	324
2017-009434	11	321
2017-009435	11	321
2017-009436	1	324
2017-009437	1	324
2017-009438	1	531
2017-009439	10	311
2017-009440	1	324
2017-009441	11	321
2017-009442	11	321
