ID,NatureCode,Result
1,100,1E 0M 0B 0L 
2,111,3E 1M 1B 1L 
3,112,1E 0M 0B 0L 
4,113,1E 0M 0B 0L 
5,114,1E 0M 0B 0L 
6,116,1E 0M 0B 0L 
7,117,1E 0M 0B 0L 
8,118,1E 0M 0B 0L 
9,120,1E 0M 0B 0L 
10,130,1E 0M 0B 0L 
11,131,1E 0M 0B 0L 
12,132,1E 0M 0B 0L 
13,136,1E 0M 0B 0L 
14,138,1E 0M 0B 0L 
15,140,0E 0M 0B 1L 
16,141,1E 0M 0B 0L 
17,142,1E 0M 0B 0L 
18,143,1E 0M 0B 0L 
19,150,1E 0M 0B 0L 
20,151,0E 0M 0B 1L 
21,154,1E 0M 0B 0L 
22,155,1E 0M 0B 0L 
23,160,1E 0M 0B 0L 
24,162,1E 0M 0B 0L 
25,210,1E 0M 0B 0L 
26,211,1E 0M 0B 0L 
27,220,1E 0M 0B 0L 
28,221,1E 0M 0B 0L 
29,251,1E 0M 0B 0L 
30,300,0E 1M 0B 0L 
31,311,0E 1M 0B 0L 
32,321,1E 1M 0B 0L 
33,322,1E 0M 0B 0L 
34,323,1E 0M 0B 0L 
35,324,1E 0M 0B 0L 
36,331,1E 0M 0B 0L 
37,341,1E 0M 0B 0L 
38,350,1E 0M 0B 0L 
39,352,1E 0M 0B 0L 
40,353,1E 0M 0B 0L 
41,357,1E 0M 0B 0L 
42,400,1E 0M 0B 0L 
43,410,1E 0M 0B 0L 
44,411,1E 0M 0B 0L 
45,412,1E 0M 0B 0L 
46,413,1E 0M 0B 0L 
47,423,1E 0M 0B 0L 
48,424,1E 0M 0B 0L 
49,440,1E 0M 0B 0L 
50,441,1E 0M 0B 0L 
51,442,1E 0M 0B 0L 
52,444,1E 0M 0B 0L 
53,445,1E 0M 0B 0L 
54,460,1E 0M 0B 0L 
55,461,1E 0M 0B 0L 
56,463,1E 0M 0B 0L 
57,500,1E 0M 0B 0L 
58,510,1E 0M 0B 0L 
59,511,1E 0M 0B 0L 
60,520,1E 0M 0B 0L 
61,521,1E 0M 0B 0L 
62,522,1E 0M 0B 0L 
63,531,1E 0M 0B 0L 
64,540,1E 0M 0B 0L 
65,541,1E 0M 0B 0L 
66,550,1E 0M 0B 0L 
67,551,1E 0M 0B 0L 
68,552,1E 0M 0B 0L 
69,553,1E 0M 0B 0L 
70,554,1E 0M 0B 0L 
71,555,1E 0M 0B 0L 
72,561,1E 0M 0B 0L 
73,600,1E 0M 0B 0L 
74,611,1E 0M 0B 0L 
75,621,1E 0M 0B 0L 
76,622,1E 0M 0B 0L 
77,631,1E 0M 0B 0L 
78,641,1E 0M 0B 0L 
79,650,1E 0M 0B 0L 
80,651,1E 0M 0B 0L 
81,652,1E 0M 0B 0L 
82,661,1E 0M 0B 0L 
83,671,1E 0M 0B 0L 
84,700,1E 0M 0B 0L 
85,710,1E 0M 0B 0L 
86,711,1E 0M 0B 0L 
87,713,1E 0M 0B 0L 
88,714,1E 0M 0B 0L 
89,715,1E 0M 0B 0L 
90,721,1E 0M 0B 0L 
91,730,1E 0M 0B 0L 
92,731,1E 0M 0B 0L 
93,732,1E 0M 0B 0L 
94,733,1E 0M 0B 0L 
95,734,1E 0M 0B 0L 
96,735,1E 0M 0B 0L 
97,736,0E 0M 0B 1L 
98,740,1E 0M 0B 0L 
99,741,1E 0M 0B 0L 
100,743,1E 0M 0B 0L 
101,744,1E 0M 0B 0L 
102,745,1E 0M 0B 0L 
103,746,1E 0M 0B 0L 
104,800,1E 0M 0B 0L 
105,812,1E 0M 0B 0L 
106,900,1E 0M 0B 0L 
107,911,1E 0M 0B 0L 
