ID	Result	NatureCode	CallRecived	Address
2017-009000	1	324	2017/1/24 12:40:40	23RD STREET NORTHWEST/RIVER ROAD NORTHWEST
2017-009001	1	735	2017/1/24 12:43:45	4655 HANOVER AVENUE
2017-009002	11	321	2017/1/24 12:43:49	2838 SOUTHEAST 82ND AVENUE
2017-009003	11	321	2017/1/24 12:53:50	9701 NORTHEAST WEIDLER STREET
2017-009004	1	324	2017/1/24 12:58:32	ADAMS AVENUE/ROSALIND AVENUE
2017-009005	10	311	2017/1/24 13:06:09	SERVICE ROAD
2017-009006	11	321	2017/1/24 13:07:20	5201 NORTHWEST JAMES BUSH ROAD
2017-009007	1	322	2017/1/24 13:11:10	SERVICE ROAD
2017-009008	10	300	2017/1/24 13:11:55	3601 NORTH 2ND STREET
2017-009009	1	322	2017/1/24 13:12:28	UNCLASSIFIED ROAD
2017-009010	1	251	2017/1/24 13:13:25	8435 NORTHEAST GLISAN STREET
2017-009011	1	324	2017/1/24 13:23:41	SOUTHEAST KNIGHT STREET/SOUTHEAST 52ND AVENUE
2017-009012	1	131	2017/1/24 13:27:43	GATEWAY DRIVE NORTHWEST
2017-009013	1	323	2017/1/24 13:35:32	NORTHWEST GREELEY AVENUE
2017-009014	1	142	2017/1/24 13:37:45	ALA MOANA BOULEVARD/CHANNEL STREET
2017-009015	11	321	2017/1/24 13:39:49	ASTRONAUT BOULEVARD/INTERNATIONAL DRIVE
2017-009016	1	611	2017/1/24 13:40:31	349 OLDE RIDENOUR ROAD
A NORTHEAST 42ND AVENUE"	0	743	2017/1/24 13:42:34	"1925;1925 
2017-009018	10	311	2017/1/24 13:46:05	4201 EAST BURNSIDE STREET
2017-009019	11	321	2017/1/24 13:54:28	1288 SOUTHWEST SIMPSON AVENUE
2017-009020	10	311	2017/1/24 13:58:11	UNKNOWN ADDRESS
2017-009021	11	321	2017/1/24 14:01:24	3060 SOUTHEAST DIVISION STREET
2017-009022	11	321	2017/1/24 14:10:22	2002 SOUTHEAST 17TH AVENUE
2017-009023	11	321	2017/1/24 14:19:34	6301 DEMERS AVENUE
2017-009024	1	324	2017/1/24 14:24:24	NORTHEAST HALSEY STREET
2017-009025	11	321	2017/1/24 14:39:09	1630 30TH STREET
2017-009026	11	321	2017/1/24 14:45:06	3101 SOUTHEAST RAYMOND STREET
2017-009027	11	321	2017/1/24 14:45:07	2701 SOUTHEAST 30TH AVENUE
2017-009028	1000	740	2017/1/24 14:46:16	3155 EAST BURNSIDE STREET
2017-009029	1	740	2017/1/24 14:56:59	6401 SOUTHEAST HOLGATE BOULEVARD
2017-009030	1	324	2017/1/24 15:04:07	ASHLEY COURT
2017-009031	11	321	2017/1/24 15:04:35	UNCLASSIFIED ROAD
2017-009032	11	321	2017/1/24 15:05:35	6505 SOUTHEAST POWELL BOULEVARD
2017-009033	1	324	2017/1/24 15:07:07	KINCAID STREET/EAST 14TH ALLEY
2017-009034	1	324	2017/1/24 15:09:09	TANTRA DRIVE
2017-009035	11	321	2017/1/24 15:11:12	4800 BASELINE ROAD
2017-009036	11	321	2017/1/24 15:11:28	2136 SOUTHEAST POWELL BOULEVARD
2017-009037	1	611	2017/1/24 15:14:36	901 BASELINE ROAD
2017-009038	11	321	2017/1/24 15:19:55	WEST HILLS ROAD/SOUTHWEST WESTERN BOULEVARD
2017-009039	1	324	2017/1/24 15:20:12	SOUTHEAST 6TH AVENUE
2017-009040	1	324	2017/1/24 15:21:07	SOUTHEAST 76TH AVENUE/SOUTHEAST TAYLOR STREET
2017-009041	11	321	2017/1/24 15:24:09	701 WEST COCOA BEACH CAUSEWAY
2017-009042	1	324	2017/1/24 15:26:50	NORTHEAST WEIDLER STREET/NORTHEAST 28TH AVENUE
2017-009043	1	324	2017/1/24 15:29:16	SERVICE ROAD
2017-009044	11	321	2017/1/24 15:33:28	400 1ST AVENUE SOUTHEAST
2017-009045	1	745	2017/1/24 15:35:28	5901 GREFSTADHEIA
2017-009046	10	300	2017/1/24 15:36:23	2802 SOUTHEAST 28TH PLACE
2017-009047	10	300	2017/1/24 15:37:05	FJæREVEIEN
2017-009048	11	321	2017/1/24 15:37:18	UNKNOWN ADDRESS
2017-009049	1	551	2017/1/24 15:39:22	UNKNOWN ADDRESS
2017-009050	1	700	2017/1/24 15:43:17	4 YAWKEY WAY
2017-009051	1	611	2017/1/24 15:47:19	3866 SOUTHEAST WOODWARD STREET
2017-009052	11	321	2017/1/24 15:49:24	2001 NORTHWEST 5TH STREET
2017-009053	10	300	2017/1/24 15:51:18	EAST 3RD AVENUE
2017-009054	10	311	2017/1/24 15:56:38	4501 SOUTH 5TH STREET
2017-009055	10	300	2017/1/24 15:56:42	4800 BASELINE ROAD
2017-009056	11	321	2017/1/24 15:56:53	349 OLDE RIDENOUR ROAD
2017-009057	1	911	2017/1/24 15:59:12	9601 NORTHEAST 28TH AVENUE
2017-009058	11	321	2017/1/24 16:04:37	800 OCCIDENTAL AVENUE SOUTH
2017-009059	1	550	2017/1/24 16:10:39	9502 SOUTHEAST SALMON STREET
2017-009060	1	743	2017/1/24 16:14:06	5501 MISSION LANE
2017-009061	1	324	2017/1/24 16:15:00	NORTH MAIN STREET
2017-009062	1	611	2017/1/24 16:21:09	BASELINE FRONTAGE ROAD
2017-009063	1	511	2017/1/24 16:28:46	UNKNOWN ADDRESS
2017-009064	1	324	2017/1/24 16:28:49	SERVICE ROAD
2017-009065	1	324	2017/1/24 16:39:43	SOUTHEAST HAWTHORNE BOULEVARD
2017-009066	1	413	2017/1/24 16:41:46	2401 HILYARD STREET
2017-009067	10	311	2017/1/24 16:43:40	310 WEST KAAHUMANU AVENUE
2017-009068	1	324	2017/1/24 16:49:27	INNERSTATE 90
2017-009069	1	611	2017/1/24 16:51:54	1901 BEACH WALK
2017-009070	1	611	2017/1/24 16:57:48	2401 FRONT STREET NORTH
2017-009071	11	321	2017/1/24 16:57:54	3RD AVENUE NORTHWEST/3RD STREET NORTHWEST
2017-009072	1010	321	2017/1/24 16:58:19	UNKNOWN ADDRESS
2017-009073	1	745	2017/1/24 17:00:41	3256 NORTHEAST COUCH STREET
2017-009074	1	324	2017/1/24 17:04:27	SERVICE ROAD
2017-009075	11	321	2017/1/24 17:06:09	9701 NORTHEAST SCHUYLER STREET
2017-009076	11	321	2017/1/24 17:07:23	3501 NORTHEAST HASSALO STREET
2017-009077	1	324	2017/1/24 17:09:41	BASELINE ROAD
2017-009078	1	324	2017/1/24 17:10:20	NORTHEAST BRAZEE STREET
2017-009079	1	324	2017/1/24 17:12:39	NORTHEAST 14TH AVENUE
2017-009080	1	611	2017/1/24 17:14:58	1001 NORTHWEST MAPLE STREET
2017-009081	1	324	2017/1/24 17:15:13	FAIRMOUNT BOULEVARD
2017-009082	1	324	2017/1/24 17:15:46	SECONDARY ROAD
2017-009083	1	324	2017/1/24 17:20:33	MALUHIA ROAD
2017-009084	1	740	2017/1/24 17:20:49	510 8TH AVENUE NORTHEAST
2017-009085	11	321	2017/1/24 17:25:54	SERVICE ROAD
2017-009086	1	324	2017/1/24 17:26:43	BEND PARKWAY
2017-009087	11	321	2017/1/24 17:27:09	UNKNOWN ADDRESS
2017-009088	1	600	2017/1/24 17:29:17	SERVICE ROAD
2017-009089	11	321	2017/1/24 17:31:34	SOUTHEAST WOODWARD STREET/SOUTHEAST 35TH PLACE
2017-009090	1	743	2017/1/24 17:33:48	1600 PLEASANT STREET
2017-009091	1000	322	2017/1/24 17:36:52	9102 EUCLID AVENUE
2017-009092	1	324	2017/1/24 17:39:45	CLUB ROAD
2017-009093	1	622	2017/1/24 17:40:50	SOUTHEAST POWELL BOULEVARD
2017-009094	10	311	2017/1/24 17:45:44	6801 SOUTHEAST 29TH AVENUE
2017-009095	1	324	2017/1/24 17:47:34	SOUTHWEST BIRDSONG DRIVE/SOUTHWEST HOLLYHOCK CIRCLE
2017-009096	1	251	2017/1/24 17:47:35	SERVICE ROAD
2017-009097	1	622	2017/1/24 17:47:40	SOUTHEAST 68TH AVENUE
2017-009098	1	324	2017/1/24 17:48:02	SERVICE ROAD
2017-009099	1	611	2017/1/24 17:49:38	8435 NORTHEAST GLISAN STREET
2017-009100	1	324	2017/1/24 17:53:44	ORANGE AVENUE/PIERCE AVENUE
2017-009101	1	611	2017/1/24 17:54:23	2803 BEAR MOUNTAIN DRIVE
2017-009102	1	745	2017/1/24 17:56:49	151 ULUNIU AVENUE
2017-009103	1	324	2017/1/24 17:56:55	LAUREL RIDGE DRIVE/FRANCES COURT
2017-009104	11	321	2017/1/24 17:58:09	1001 ENA ROAD
2017-009105	10	311	2017/1/24 18:01:45	8201 SOUTHEAST 70TH AVENUE
2017-009106	11	321	2017/1/24 18:02:35	6001 NORTHEAST DEKALB AVENUE
