ID	Result	NatureCode	CallRecived	Address
2017-000001	11	321	2017/1/1 0:00:39	UNKNOWN ADDRESS
2017-000002	1	744	2017/1/1 0:04:53	1701 NORTHWEST JUNIPER STREET
2017-000003	11	321	2017/1/1 0:21:30	4301 SOUTHWEST GEROLD STREET
2017-000004	1	324	2017/1/1 0:35:38	30TH STREET/BASELINE ROAD
2017-000005	1	611	2017/1/1 0:39:11	1236 SOUTH KING STREET
2017-000006	1	743	2017/1/1 0:44:25	1210 NORTHEAST 3RD STREET
2017-000007	1	743	2017/1/1 0:45:02	901 BELMONT ROAD
2017-000008	1	552	2017/1/1 0:46:04	4501 NORTHWEST GILMAN BOULEVARD
2017-000009	11	321	2017/1/1 0:50:57	5504 ALDER STREET
2017-000010	11	321	2017/1/1 0:51:14	648 EAST 17TH AVENUE
2017-000011	1	600	2017/1/1 1:09:04	8301 MEADOW GREEN CIRCLE
2017-000012	1	445	2017/1/1 1:26:44	5701 NORTHEAST PENN AVENUE
2017-000013	1	622	2017/1/1 1:29:11	7733 SOUTHEAST RAYMOND STREET
2017-000014	10	311	2017/1/1 2:14:32	901 BELMONT ROAD
2017-000015	1	511	2017/1/1 2:14:57	5001 WALNUT STREET
2017-000016	1	324	2017/1/1 2:17:52	NORTHEAST THOMPSON STREET/NORTHEAST 41ST AVENUE
2017-000017	11	321	2017/1/1 2:21:52	3119 SOUTHEAST 12TH AVENUE
2017-000018	11	321	2017/1/1 2:23:02	8401 NORTHEAST SANDY BOULEVARD
2017-000019	1	734	2017/1/1 2:39:51	110 4TH ST SE
2017-000020	10	311	2017/1/1 2:46:59	4504 SOUTHEAST ANKENY STREET
2017-000021	11	321	2017/1/1 2:54:57	9302 SOUTHEAST KELLY STREET
2017-000022	10	311	2017/1/1 2:58:22	6801 SOUTHEAST 11TH AVENUE
2017-000023	1	554	2017/1/1 3:11:22	7401 RYCROFT STREET
2017-000024	11	321	2017/1/1 3:14:24	3401 KINCAID PLACE
2017-000025	10	311	2017/1/1 3:27:53	3551 SOUTHEAST DIVISION STREET
2017-000026	11	321	2017/1/1 3:31:51	9701 SOUTHWEST WOLVERINE DRIVE
2017-000027	1	600	2017/1/1 3:33:46	3285 30TH STREET
2017-000028	11	321	2017/1/1 3:34:15	4901 EAST LAKE SAMMAMISH PARKWAY SOUTHEAST
2017-000029	10	311	2017/1/1 3:34:33	360 NORTHEAST QUIMBY AVENUE
2017-000030	1	743	2017/1/1 4:21:52	4101 CANYON BOULEVARD
2017-000031	11	321	2017/1/1 4:32:34	2501 SOUTHEAST RHONE STREET
2017-000032	1	745	2017/1/1 4:38:44	8435 NORTHEAST GLISAN STREET
2017-000033	1	611	2017/1/1 4:43:33	WEST STREET
2017-000034	1	744	2017/1/1 4:46:08	1101 PUNAHOU STREET
2017-000035	1	324	2017/1/1 4:55:01	SERVICE ROAD
2017-000036	1	740	2017/1/1 4:59:53	1935 SOUTHEAST HAWTHORNE BOULEVARD
2017-000037	10	300	2017/1/1 5:21:10	7201 NORTHEAST COUCH STREET
2017-000038	10	311	2017/1/1 5:36:06	401 SOUTHEAST RHINE STREET
