ID,NatureCode,Result
1,321,1E 1M 0B 0L 
2,744,1E 0M 0B 0L 
3,324,1E 0M 0B 0L 
4,611,1E 0M 0B 0L 
5,743,1E 0M 0B 0L 
6,552,1E 0M 0B 0L 
7,600,1E 0M 0B 0L 
8,445,1E 0M 0B 0L 
9,622,1E 0M 0B 0L 
10,311,0E 1M 0B 0L 
11,511,1E 0M 0B 0L 
12,734,1E 0M 0B 0L 
13,554,1E 0M 0B 0L 
14,745,1E 0M 0B 0L 
15,740,1E 0M 0B 0L 
16,300,0E 1M 0B 0L 
17,736,1E 0M 0B 0L 
18,911,1E 0M 0B 0L 
19,323,1E 0M 0B 0L 
20,735,1E 0M 0B 0L 
21,150,1E 0M 0B 0L 
22,151,1E 0M 0B 0L 
23,710,1E 0M 0B 0L 
24,322,1E 0M 0B 0L 
25,531,1E 0M 0B 0L 
26,700,1E 0M 0B 0L 
27,142,1E 0M 0B 0L 
28,131,1E 0M 0B 0L 
29,671,1E 0M 0B 0L 
30,661,1E 0M 0B 0L 
31,111,3E 1M 1B 1L 
32,651,1E 0M 0B 0L 
33,510,1E 0M 0B 0L 
34,412,1E 0M 0B 0L 
35,251,1E 0M 0B 0L 
36,746,1E 0M 0B 0L 
37,500,1E 0M 0B 0L 
38,555,1E 0M 0B 0L 
39,440,1E 0M 0B 0L 
40,221,1E 0M 0B 0L 
41,730,1E 0M 0B 0L 
42,715,1E 0M 0B 0L 
43,154,1E 0M 0B 0L 
44,733,1E 0M 0B 0L 
45,353,1E 0M 0B 0L 
46,411,1E 0M 0B 0L 
47,721,1E 0M 0B 0L 
48,621,1E 0M 0B 0L 
49,522,1E 0M 0B 0L 
50,551,1E 0M 0B 0L 
51,331,1E 0M 0B 0L 
52,461,1E 0M 0B 0L 
53,553,1E 0M 0B 0L 
54,550,1E 0M 0B 0L 
55,444,1E 0M 0B 0L 
56,413,1E 0M 0B 0L 
57,561,1E 0M 0B 0L 
58,652,1E 0M 0B 0L 
59,520,1E 0M 0B 0L 
60,741,1E 0M 0B 0L 
61,143,1E 0M 0B 0L 
62,130,1E 0M 0B 0L 
63,424,1E 0M 0B 0L 
64,731,1E 0M 0B 0L 
65,463,1E 0M 0B 0L 
66,714,1E 0M 0B 0L 
67,732,1E 0M 0B 0L 
68,812,1E 0M 0B 0L 
69,118,1E 0M 0B 0L 
70,900,1E 0M 0B 0L 
71,138,1E 0M 0B 0L 
72,650,1E 0M 0B 0L 
73,713,1E 0M 0B 0L 
74,400,1E 0M 0B 0L 
75,136,1E 0M 0B 0L 
76,140,1E 0M 0B 0L 
77,540,1E 0M 0B 0L 
78,113,1E 0M 0B 0L 
79,442,1E 0M 0B 0L 
80,441,1E 0M 0B 0L 
81,210,1E 0M 0B 0L 
82,631,1E 0M 0B 0L 
83,141,1E 0M 0B 0L 
84,220,1E 0M 0B 0L 
85,711,1E 0M 0B 0L 
86,341,1E 0M 0B 0L 
87,100,1E 0M 0B 0L 
88,410,1E 0M 0B 0L 
89,800,1E 0M 0B 0L 
90,423,1E 0M 0B 0L 
91,211,1E 0M 0B 0L 
92,460,1E 0M 0B 0L 
93,357,1E 0M 0B 0L 
94,117,1E 0M 0B 0L 
95,350,1E 0M 0B 0L 
96,541,1E 0M 0B 0L 
97,162,1E 0M 0B 0L 
98,160,1E 0M 0B 0L 
99,641,1E 0M 0B 0L 
100,112,3E 1M 1B 1L 
101,132,1E 0M 0B 0L 
102,521,1E 0M 0B 0L 
103,114,3E 1M 1B 1L 
104,155,1E 0M 0B 0L 
105,352,1E 0M 0B 0L 
106,120,1E 0M 0B 0L 
107,116,1E 0M 0B 0L 
