ID,NatureCode,Result
1,100,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
2,111,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
3,112,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
4,113,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
5,114,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
6,116,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
7,117,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
8,118,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
9,120,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
10,121,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
11,123,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
12,130,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
13,131,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
14,132,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
15,133,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
16,136,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
17,137,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
18,138,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
19,140,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
20,141,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
21,142,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
22,143,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
23,150,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
24,151,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
25,152,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
26,153,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
27,154,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
28,155,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
29,160,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
30,161,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
31,162,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
32,163,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
33,164,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
34,170,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
35,200,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
36,210,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
37,211,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
38,212,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
39,213,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
40,220,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
41,221,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
42,223,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
43,231,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
44,240,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
45,243,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
46,251,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
47,300,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
48,311,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
49,321,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
50,322,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
51,323,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
52,324,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
53,331,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
54,340,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
55,341,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
56,350,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
57,351,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
58,352,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
59,353,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
60,354,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
61,355,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
62,356,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
63,357,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
64,360,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
65,361,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
66,363,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
67,364,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
68,365,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
69,372,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
70,381,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
71,400,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
72,410,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
73,411,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
74,412,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
75,413,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
76,420,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
77,421,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
78,422,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
79,423,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
80,424,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
81,430,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
82,440,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
83,441,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
84,442,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
85,443,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
86,444,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
87,445,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
88,451,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
89,460,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
90,461,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
91,462,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
92,463,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
93,471,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
94,480,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
95,481,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
96,482,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
97,500,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
98,510,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
99,511,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
100,512,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
101,520,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
102,521,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
103,522,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
104,531,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
105,540,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
106,541,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
107,542,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
108,550,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
109,551,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
110,552,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
111,553,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
112,554,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
113,555,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
114,561,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
115,571,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
116,600,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
117,611,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
118,621,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
119,622,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
120,631,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
121,632,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
122,641,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
123,650,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
124,651,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
125,652,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
126,653,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
127,661,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
128,671,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
129,672,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
130,700,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
131,710,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
132,711,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
133,712,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
134,713,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
135,714,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
136,715,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
137,721,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
